x-r,y-r,x-s,y-s
-1.212845139,-0.045146876,-1.810787896,0.636528482
-1.213729783,-0.04737603,-1.810787896,0.636528482
-0.222496809,0.341237307,1.26101572,0.719072627
3.943233557,-0.004597207,0.204910605,-3.689447368
3.942303321,-0.004676301,3.943233567,-0.004597196
-1.740795853,-0.038562856,-2.899351596,0.183963078
-0.998997618,-0.031548415,-1.621752013,0.277882541
0.445144646,-0.014718079,-2.650679942,0.063903273
-0.993420715,-0.03219539,-1.658064709,0.273474648
-0.989957255,-0.031886782,-1.658064709,0.273474648
-0.943955637,-0.052039669,-3.504579988,-0.053287815
1.819068715,2.617315783,0.44617323,-0.603112463
3.939058551,-0.001378167,3.943233567,-0.004597196
-1.555905941,-0.095107303,-2.803828338,0.22738308
